Date,Observé,Prédit
2019-09-21,32.227116,29.105852
2019-09-22,32.834175,25.598227
2019-09-23,29.586744,24.575237
2019-09-24,19.163044,20.911022
2019-09-25,13.7876,20.99342
2019-09-26,24.67485,18.179773
2019-09-27,30.118193,21.2201
2019-09-28,22.03588,21.245302
2019-09-29,17.2267,19.239296
2019-09-30,24.906528,17.43493
2019-10-01,23.081228,19.960802
2019-10-02,40.987827,16.123947
2019-10-03,23.958052,22.95923
2019-10-04,33.47945,21.893793
2019-10-05,27.883402,20.108828
2019-10-06,31.712955,16.370089
2019-10-07,37.35624,16.098078
2019-10-08,50.987736,18.125057
2019-10-09,26.049084,27.159353
2019-10-10,19.901093,19.059221
2019-10-11,29.592775,18.65974
2019-10-12,47.285843,27.422684
2019-10-13,27.145365,29.884554
2019-10-14,18.854548,31.818897
2019-10-15,15.354281,28.71978
2019-10-16,15.806785,23.103733
2019-10-17,9.72174,20.340786
2019-10-18,21.419104,17.424664
2019-10-19,29.726603,17.423372
2019-10-20,20.773705,16.914291
2019-10-21,15.956013,14.890635
2019-10-22,15.598351,14.757247
2019-10-23,22.66558,20.81586
2019-10-24,23.687832,20.899693
2019-10-25,14.527766,18.119293
2019-10-26,14.798444,15.864046
2019-10-27,16.478386,16.254894
2019-10-28,22.837965,17.882265
2019-10-29,13.196588,17.43924
2019-10-30,9.876219,16.140774
2019-10-31,16.579708,16.946913
2019-11-01,12.464941,17.923937
2019-11-02,15.718831,15.916686
2019-11-03,9.332786,15.117068
2019-11-04,4.22883,15.274564
2019-11-05,6.360799,12.533845
2019-11-06,2.0830157,6.85307
2019-11-07,2.1222465,6.9077077
2019-11-08,1.9451597,6.839848
2019-11-09,3.2406409,5.957795
2019-11-10,13.089716,5.4839563
2019-11-11,3.5999608,8.598066
2019-11-12,3.3679976,10.811122
2019-11-13,7.825599,11.242854
2019-11-14,9.161553,12.467844
2019-11-15,7.199349,9.065056
2019-11-16,7.17462,6.419207
2019-11-17,9.538528,6.312556
2019-11-18,6.123,7.173753
2019-11-19,2.9873338,5.6463137
2019-11-20,3.8314443,4.9025736
2019-11-21,6.7176247,6.783008
2019-11-22,1.8418267,5.022896
2019-11-23,1.1384609,5.1165757
2019-11-24,3.895738,4.5143228
2019-11-25,1.4869212,5.698611
2019-11-26,1.3716805,5.486326
2019-11-27,1.8522308,5.5292654
2019-11-28,0.73784554,4.0512414
2019-11-29,0.7121931,4.097837
2019-11-30,0.9357845,3.9196603
2019-12-01,1.3597502,3.8912587
2019-12-02,1.0504587,3.9032958
2019-12-03,0.8404911,3.8956938
2019-12-04,2.036055,3.890982
2019-12-05,1.7316353,4.2261243
2019-12-06,3.7581582,4.1976404
2019-12-07,3.230806,3.9460726
2019-12-08,3.246541,3.9458754
2019-12-09,3.1914132,3.9068446
2019-12-10,2.1775348,3.8857322
2019-12-11,3.0602312,3.9412034
2019-12-12,1.4927515,3.939157
2019-12-13,1.2421126,3.8640513
2019-12-14,2.5767102,3.8949518
2019-12-15,1.9918813,3.892962
2019-12-16,1.1664095,3.9000182
2019-12-17,0.52392215,3.887133
2019-12-18,0.41796717,3.8853052
2019-12-19,0.5926395,3.8833132
2019-12-20,0.20127998,3.8819585
2019-12-21,0.62546295,3.540918
2019-12-22,0.5387568,3.84834
2019-12-23,0.34535846,3.5315545
2019-12-24,0.15182647,3.3032687
