lon,lat,obs,pred
-17.95,12.15000000000001,2.07,10.158062
-17.95,12.250000000000004,2.8150003,9.117394
-17.95,12.350000000000012,2.6850004,8.617975
-17.95,12.450000000000006,3.2549999,7.76001
-17.95,12.55,2.5349996,6.847698
-17.95,12.65000000000001,1.3599999,7.1858106
-17.95,12.750000000000004,0.56,6.637063
-17.95,12.850000000000012,1.015,6.428466
-17.95,12.950000000000006,0.67,6.0976214
-17.95,13.05,0.24000001,5.8839316
-17.95,13.15000000000001,0.055,5.818739
-17.95,13.250000000000004,0.010000001,6.022031
-17.95,13.350000000000012,0.024999999,6.764921
-17.95,13.450000000000006,0.059999995,6.9706426
-17.95,13.55,0.04,5.9630547
-17.95,13.65000000000001,0.0,5.6736298
-17.95,13.750000000000004,0.0,4.902658
-17.95,13.850000000000012,0.0,4.2407827
-17.95,13.950000000000006,0.0,3.6288755
-17.95,14.05,0.034999996,3.6356654
-17.95,14.15000000000001,0.0,3.9682634
-17.95,14.250000000000004,0.035000004,3.413954
-17.95,14.350000000000012,0.0050000004,3.41912
-17.95,14.450000000000006,0.02,3.1711833
-17.95,14.55,0.0,2.8038416
-17.95,14.65000000000001,0.0,2.4701223
-17.95,14.750000000000004,0.0,2.4146514
-17.95,14.850000000000012,0.0,2.2112653
-17.95,14.950000000000006,0.015,1.7661839
-17.95,15.05,0.0,1.6083579
-17.95,15.15000000000001,0.0,1.3638375
-17.95,15.250000000000004,0.0,1.163938
-17.95,15.350000000000012,0.0,1.1719848
-17.95,15.450000000000006,0.0,1.2192189
-17.95,15.55,0.0,1.2307849
-17.95,15.65000000000001,0.0,1.2131139
-17.95,15.750000000000004,0.0,1.0945709
-17.95,15.850000000000012,0.0,1.037457
-17.95,15.950000000000006,0.0,0.9435302
-17.95,16.05,0.0,0.83109224
-17.95,16.15000000000001,0.0,0.73093015
-17.95,16.250000000000004,0.035000004,0.6405874
-17.95,16.350000000000012,1.41,0.57119215
-17.95,16.450000000000006,0.24000001,0.52021414
-17.95,16.55,0.0,0.45322058
-17.95,16.65000000000001,0.0,0.32134998
-17.95,16.750000000000004,0.0,0.293554
-17.95,16.850000000000012,0.0,0.26951665
-17.95,16.950000000000006,0.0,0.25970355
-17.95,17.05,0.0,0.19700786
-17.95,17.15000000000001,0.0,0.18099745
-17.95,17.250000000000004,0.0,0.1696486
-17.95,17.350000000000012,0.0,0.17932898
-17.95,17.450000000000006,0.0,0.16646233
-17.95,17.55,0.0,0.14138873
-17.95,17.65000000000001,0.0,0.13779613
-17.95,17.750000000000004,0.0,0.21191691
-17.95,17.850000000000012,0.0,0.26642278
-17.95,17.950000000000006,0.0,0.21958496
-17.85,3.9500000000000055,0.049999997,0.52903533
-17.85,4.05,0.030000001,0.6769596
-17.85,4.150000000000008,0.0050000004,0.67349166
